waktu;Daging_Ayam_Ras_Segar
01/2017;31450
02/2017;29500
03/2017;29400
04/2017;30000
05/2017;31150
06/2017;32300
07/2017;32150
08/2017;32000
09/2017;30300
10/2017;30000
11/2017;30300
12/2017;32250
01/2018;34500
02/2018;32650
03/2018;32000
04/2018;32400
05/2018;33800
06/2018;38450
07/2018;38150
08/2018;35400
09/2018;32300
10/2018;32600
11/2018;32550
12/2018;35050
01/2019;34500
02/2019;32150
03/2019;31450
04/2019;32000
05/2019;33600
