waktu;Beras_Kualitas_Medium_I
Jan 2018 (I);11250
Jan 2018 (II);12000
Jan 2018 (III);12250
Jan 2018 (IV);12650
Jan 2018 (V);13000
Feb 2018 (I);13000
Feb 2018 (II);13000
Feb 2018 (III);13000
Feb 2018 (IV);12550
Mar 2018 (I);12050
Mar 2018 (II);12000
Mar 2018 (III);12000
Mar 2018 (IV);12000
Apr 2018 (I);12000
Apr 2018 (II);12000
Apr 2018 (III);12000
Apr 2018 (IV);12000
Apr 2018 (V);12000
Mei 2018 (I);12000
Mei 2018 (II);12000
Mei 2018 (III);12000
Mei 2018 (IV);12000
Jun 2018 (I);12000
Jun 2018 (II);12000
Jun 2018 (III);12000
Jun 2018 (IV);12000
Jul 2018 (I);12000
Jul 2018 (II);12000
Jul 2018 (III);12000
Jul 2018 (IV);12000
Jul 2018 (V);12000
Agu 2018 (I);11500
Agu 2018 (II);11500
Agu 2018 (III);11500
Agu 2018 (IV);11500
Sep 2018 (I);11500
Sep 2018 (II);11500
Sep 2018 (III);11500
Sep 2018 (IV);11500
Okt 2018 (I);11500
Okt 2018 (II);11500
Okt 2018 (III);11500
Okt 2018 (IV);11500
Okt 2018 (V);11500
Nov 2018 (I);11500
Nov 2018 (II);11500
Nov 2018 (III);11500
Nov 2018 (IV);11500
Des 2018 (I);11500
Des 2018 (II);11500
Des 2018 (III);11500
Des 2018 (IV);11500
Des 2018 (V);11500
Jan 2019 (I);11500
Jan 2019 (II);11500
Jan 2019 (III);11500
Jan 2019 (IV);11500
Feb 2019 (I);11500
Feb 2019 (II);11500
Feb 2019 (III);11500
Feb 2019 (IV);11500
Mar 2019 (I);11500
Mar 2019 (II);11500
Mar 2019 (III);11500
Mar 2019 (IV);11500
Apr 2019 (I);11500
Apr 2019 (II);11500
Apr 2019 (III);11500
Apr 2019 (IV);11500
Apr 2019 (V);11500
Mei 2019 (I);11500
Mei 2019 (II);11500
Mei 2019 (III);11500
Mei 2019 (IV);11500
Jun 2019 (I);11500
Jun 2019 (II);11500
Jun 2019 (III);11500
Jun 2019 (IV);11500
Jul 2019 (I);11500
Jul 2019 (II);11500
Jul 2019 (III);11500
Jul 2019 (IV);11500
Jul 2019 (V);11500
Agu 2019 (I);11500
Agu 2019 (II);11500
Agu 2019 (III);11500
Agu 2019 (IV);11500
Sep 2019 (I);11500
Sep 2019 (II);11500
Sep 2019 (III);11500
Sep 2019 (IV);11500
Sep 2019 (V);11500
Okt 2019 (I);11500
Okt 2019 (II);11500
Okt 2019 (III);11500
Okt 2019 (IV);11500
Nov 2019 (I);11500
