waktu;Bawang_Merah_Ukuran_Sedang
01/2017;26250
02/2017;33250
03/2017;32250
04/2017;25150
05/2017;25900
06/2017;28900
07/2017;30350
08/2017;23250
09/2017;19250
10/2017;17250
11/2017;22950
12/2017;19100
01/2018;16350
02/2018;19350
03/2018;23100
04/2018;30200
05/2018;29800
06/2018;29250
07/2018;23300
08/2018;19950
09/2018;16450
10/2018;15800
11/2018;21350
12/2018;24650
01/2019;25850
02/2019;19400
03/2019;31750
04/2019;37400
05/2019;26050
