waktu;Beras_Kualitas_Medium_I
01/2017;10750
02/2017;10750
03/2017;10600
04/2017;10550
05/2017;10550
06/2017;10550
07/2017;10550
08/2017;10550
09/2017;10700
10/2017;10750
11/2017;10800
12/2017;11150
01/2018;12250
02/2018;12950
03/2018;12050
04/2018;12000
05/2018;12000
06/2018;12000
07/2018;12000
08/2018;11550
09/2018;11500
10/2018;11500
11/2018;11500
12/2018;11500
01/2019;11500
02/2019;11500
03/2019;11500
04/2019;11500
05/2019;11500
