waktu;Gula_Pasir_Lokal
01/2017;13000
02/2017;13000
03/2017;12800
04/2017;12750
05/2017;12750
06/2017;12750
07/2017;12700
08/2017;12500
09/2017;11650
10/2017;11950
11/2017;11850
12/2017;12050
01/2018;12000
02/2018;12000
03/2018;12000
04/2018;12200
05/2018;12250
06/2018;12200
07/2018;11750
08/2018;11750
09/2018;11450
10/2018;11000
11/2018;11000
12/2018;11000
01/2019;11000
02/2019;11150
03/2019;11600
04/2019;12000
05/2019;13000
